rowid	studyid	popid	speciesid	ord	fam	gen	sp	full_sp	habitat	source	development	acclim_stage	ctm_stage	tsr	sex	stand_lat	lat_bin	mass	all_mass	acclim_temp	cont_temp	acclim_dur	acclim_type	ctlimit	ramp_rate	groupID	treat	treatSD	treatN	cont	contSD	contN	simpctend	data_type	author	title	journal	year	webpage	ARR	var	precision	diff
1	198	1	69	Odonata	Coenagrionidae	Ischnura	elegans	Ischnura elegans	Aquatic	Field	Hemi	Early life	Early life	within	Unknown	57.16	50 - 60	NA	NA	2	15	0.5	Constant	Ctmin	0.1	1	3.1	1.8	22	4.7	1.5	56	No response to stimulus	Table	"Smith, L"	"Increased duration of extreme thermal events negatively affects cold acclimation ability in a high-latitude, freshwater ectotherm (Ischnura elegans; Odonata: Coenagrionidae)"	EUROPEAN JOURNAL OF ENTOMOLOGY  	2020	https://www.eje.cz/artkey/eje-202001-0010_increased_duration_of_extreme_thermal_events_negatively_affects_cold_acclimation_ability_in_a_high-latitude_fr.php	0.123076923	0.001109179	30.02611375	-13
2	198	1	69	Odonata	Coenagrionidae	Ischnura	elegans	Ischnura elegans	Aquatic	Field	Hemi	Early life	Early life	within	Unknown	57.16	50 - 60	NA	NA	15	30	0.5	Constant	Ctmin	0.1	1	4.7	1.5	56	4.6	1.4	31	No response to stimulus	Table	"Smith, L"	"Increased duration of extreme thermal events negatively affects cold acclimation ability in a high-latitude, freshwater ectotherm (Ischnura elegans; Odonata: Coenagrionidae)"	EUROPEAN JOURNAL OF ENTOMOLOGY  	2020	https://www.eje.cz/artkey/eje-202001-0010_increased_duration_of_extreme_thermal_events_negatively_affects_cold_acclimation_ability_in_a_high-latitude_fr.php	-0.006666667	0.000459575	46.64679353	-15
3	198	1	69	Odonata	Coenagrionidae	Ischnura	elegans	Ischnura elegans	Aquatic	Field	Hemi	Early life	Early life	within	Unknown	57.16	50 - 60	NA	NA	2	15	2	Constant	Ctmin	0.1	2	3.9	2.2	21	4.7	1.5	56	No response to stimulus	Table	"Smith, L"	"Increased duration of extreme thermal events negatively affects cold acclimation ability in a high-latitude, freshwater ectotherm (Ischnura elegans; Odonata: Coenagrionidae)"	EUROPEAN JOURNAL OF ENTOMOLOGY  	2020	https://www.eje.cz/artkey/eje-202001-0010_increased_duration_of_extreme_thermal_events_negatively_affects_cold_acclimation_ability_in_a_high-latitude_fr.php	0.061538462	0.001601507	24.98823123	-13
4	198	1	69	Odonata	Coenagrionidae	Ischnura	elegans	Ischnura elegans	Aquatic	Field	Hemi	Early life	Early life	within	Unknown	57.16	50 - 60	NA	NA	15	30	2	Constant	Ctmin	0.1	2	5	1.3	33	4.7	1.5	56	No response to stimulus	Table	"Smith, L"	"Increased duration of extreme thermal events negatively affects cold acclimation ability in a high-latitude, freshwater ectotherm (Ischnura elegans; Odonata: Coenagrionidae)"	EUROPEAN JOURNAL OF ENTOMOLOGY  	2020	https://www.eje.cz/artkey/eje-202001-0010_increased_duration_of_extreme_thermal_events_negatively_affects_cold_acclimation_ability_in_a_high-latitude_fr.php	-0.02	0.000406181	49.61811652	-15
5	198	1	69	Odonata	Coenagrionidae	Ischnura	elegans	Ischnura elegans	Aquatic	Field	Hemi	Early life	Early life	within	Unknown	57.16	50 - 60	NA	NA	2	15	24	Constant	Ctmin	0.1	3	3.8	1.1	25	4.7	1.5	56	No response to stimulus	Table	"Smith, L"	"Increased duration of extreme thermal events negatively affects cold acclimation ability in a high-latitude, freshwater ectotherm (Ischnura elegans; Odonata: Coenagrionidae)"	EUROPEAN JOURNAL OF ENTOMOLOGY  	2020	https://www.eje.cz/artkey/eje-202001-0010_increased_duration_of_extreme_thermal_events_negatively_affects_cold_acclimation_ability_in_a_high-latitude_fr.php	0.069230769	0.000524134	43.67963659	-13
6	198	1	69	Odonata	Coenagrionidae	Ischnura	elegans	Ischnura elegans	Aquatic	Field	Hemi	Early life	Early life	within	Unknown	57.16	50 - 60	NA	NA	15	30	24	Constant	Ctmin	0.1	3	4.7	1.5	56	5.4	1.6	34	No response to stimulus	Table	"Smith, L"	"Increased duration of extreme thermal events negatively affects cold acclimation ability in a high-latitude, freshwater ectotherm (Ischnura elegans; Odonata: Coenagrionidae)"	EUROPEAN JOURNAL OF ENTOMOLOGY  	2020	https://www.eje.cz/artkey/eje-202001-0010_increased_duration_of_extreme_thermal_events_negatively_affects_cold_acclimation_ability_in_a_high-latitude_fr.php	0.046666667	0.000513212	44.14196065	-15
7	16	2	88	Hemiptera	Reduviidae	Rhodnius	prolixus	Rhodnius prolixus	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	21	14	168	Constant	Ctmax	0.25	4	45.09	0.26	15	44.71	0.24	17	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372474	0.054285714	0.00016112	78.78157689	7
8	16	2	88	Hemiptera	Reduviidae	Rhodnius	prolixus	Rhodnius prolixus	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	28	21	168	Constant	Ctmax	0.25	4	45.96	0.24	17	45.09	0.26	15	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372474	0.124285714	0.00016112	78.78157689	7
9	16	2	88	Hemiptera	Reduviidae	Rhodnius	prolixus	Rhodnius prolixus	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	35	28	168	Constant	Ctmax	0.25	4	45.53	0.25	16	45.96	0.24	17	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372474	-0.061428571	0.000148867	81.95976669	7
10	16	2	88	Hemiptera	Reduviidae	Rhodnius	prolixus	Rhodnius prolixus	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	28	35	168	Constant	Ctmin	0.25	5	6.16	0.19	21	8.83	0.18	25	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372474	0.381428571	6.15E-05	127.4826117	-7
11	16	2	88	Hemiptera	Reduviidae	Rhodnius	prolixus	Rhodnius prolixus	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	21	28	168	Constant	Ctmin	0.25	5	5.57	0.2	20	6.16	0.19	21	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372474	0.084285714	7.59E-05	114.7842155	-7
12	16	2	88	Hemiptera	Reduviidae	Rhodnius	prolixus	Rhodnius prolixus	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	14	21	168	Constant	Ctmin	0.25	5	4.66	0.18	24	5.57	0.2	20	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372474	0.13	6.84E-05	120.9415796	-7
13	16	3	97	Hemiptera	Reduviidae	Triatoma	infestans	Triatoma infestans	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	21	14	168	Constant	Ctmax	0.25	6	49.08	0.24	15	49.93	0.24	15	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372477	-0.121428571	0.000156735	79.8762063	7
14	16	3	97	Hemiptera	Reduviidae	Triatoma	infestans	Triatoma infestans	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	28	21	168	Constant	Ctmax	0.25	6	48.93	0.24	15	49.08	0.24	15	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372478	-0.021428571	0.000156735	79.8762063	7
15	16	3	97	Hemiptera	Reduviidae	Triatoma	infestans	Triatoma infestans	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	35	28	168	Constant	Ctmax	0.25	6	49.86	0.25	14	48.93	0.24	15	Loss of activity	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372479	0.132857143	0.000169475	76.81515276	7
16	16	3	97	Hemiptera	Reduviidae	Triatoma	infestans	Triatoma infestans	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	28	35	168	Constant	Ctmin	0.25	7	1.03	0.34	21	2.9	0.33	22	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372477	0.267142857	0.000213362	68.46064187	-7
17	16	3	97	Hemiptera	Reduviidae	Triatoma	infestans	Triatoma infestans	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	21	28	168	Constant	Ctmin	0.25	7	1.85	0.35	19	1.03	0.34	21	No response to stimulus	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372478	-0.117142857	0.000243921	64.02880257	-7
18	16	3	97	Hemiptera	Reduviidae	Triatoma	infestans	Triatoma infestans	Terrestrial	Laboratory	Hemi	Early life	Early life	within	Unknown	NA		NA	NA	14	21	168	Constant	Ctmin	0.25	7	0.73	0.34	20	1.85	0.35	19	Loss of activity	Table	"Belliard, S"	Thermal Tolerance Plasticity in Chagas Disease Vectors Rhodnius prolixus (Hemiptera: Reduviidae) and Triatoma infestans	JOURNAL OF MEDICAL ENTOMOLOGY	2019	https://academic.oup.com/jme/article/56/4/997/5372479	0.16	0.000249538	63.30405659	-7
19	23	4	22	Lepidoptera	Crambidae	Chilo	partellus	Chilo partellus	Terrestrial	Laboratory	Holo	Early life	Adult	within	Unknown	NA		NA	NA	23	28	NA	Constant	Ctmin	0.25	8	2.2	0.422	20	4.86	0.372	20	No response to stimulus	Graph	"Mutamiswa, R"	Life-stage related responses to combined effects of acclimation temperature and humidity on the thermal tolerance of Chilo partellus (Swinhoe) (Lepidoptera: Crambidae)	JOURNAL OF THERMAL BIOLOGY	2019	https://www.sciencedirect.com/science/article/pii/S0306456518304054#f0010	0.532	0.000632936	39.74844113	-5
20	23	4	22	Lepidoptera	Crambidae	Chilo	partellus	Chilo partellus	Terrestrial	Laboratory	Holo	Early life	Adult	within	Unknown	NA		NA	NA	28	33	NA	Constant	Ctmin	0.25	8	4.86	0.372	20	4.24	0.516	20	No response to stimulus	Graph	"Mutamiswa, R"	Life-stage related responses to combined effects of acclimation temperature and humidity on the thermal tolerance of Chilo partellus (Swinhoe) (Lepidoptera: Crambidae)	JOURNAL OF THERMAL BIOLOGY	2019	https://www.sciencedirect.com/science/article/pii/S0306456518304054#f0010	-0.124	0.00080928	35.15204505	-5
21	23	4	22	Lepidoptera	Crambidae	Chilo	partellus	Chilo partellus	Terrestrial	Laboratory	Holo	Early life	Adult	within	Unknown	NA		NA	NA	28	23	NA	Constant	Ctmax	0.25	9	47.88	0.614	20	47.46	0.614	20	No response to stimulus	Graph	"Mutamiswa, R"	Life-stage related responses to combined effects of acclimation temperature and humidity on the thermal tolerance of Chilo partellus (Swinhoe) (Lepidoptera: Crambidae)	JOURNAL OF THERMAL BIOLOGY	2019	https://www.sciencedirect.com/science/article/pii/S0306456518304054#f0013	0.084	0.001507984	25.75144674	5
22	23	4	22	Lepidoptera	Crambidae	Chilo	partellus	Chilo partellus	Terrestrial	Laboratory	Holo	Early life	Adult	within	Unknown	NA		NA	NA	33	28	NA	Constant	Ctmax	0.25	9	48.29	0.6	20	47.88	0.614	20	No response to stimulus	Graph	"Mutamiswa, R"	Life-stage related responses to combined effects of acclimation temperature and humidity on the thermal tolerance of Chilo partellus (Swinhoe) (Lepidoptera: Crambidae)	JOURNAL OF THERMAL BIOLOGY	2019	https://www.sciencedirect.com/science/article/pii/S0306456518304054#f0013	0.082	0.001473992	26.04668374	5
